observation_id      source  product_id  observatory     mjd_start      mjd_stop  exposure  moving_target_id  designation  small_body           mjd          tmtp         ra         dec       rh    delta   phase   selong  true_anomaly   sangle   vangle     unc_a    unc_b   unc_th    vmag
        325714  lsst-dp0.2   211131084          X05  59866.158405  59866.158752    30.000                20    C/2022 R6        true  59866.158405  -1046.376983  54.250758  -41.721127   9.4403   8.8921   5.216  120.685       293.108  138.233   88.563     0.323    0.311   54.039  18.845
        326099  lsst-dp0.2   211536137          X05  59866.351907  59866.352254    30.000                20    C/2022 R6        true  59866.351907  -1046.183481  54.238833  -41.733678   9.4395   8.8910   5.215  120.707       293.115  138.471   88.578     0.323    0.311   54.046  18.844
        338501  lsst-dp0.2   211485049          X05  59866.324542  59866.324889    30.000                20    C/2022 R6        true  59866.324542  -1046.210846  54.240521  -41.731917   9.4396   8.8912   5.215  120.704       293.114  138.437   88.576     0.323    0.311   54.045  18.844
        446350  lsst-dp0.2   211098161          X05  59866.142850  59866.143197    30.000                20    C/2022 R6        true  59866.142850  -1046.392538  54.251709  -41.720109   9.4404   8.8922   5.216  120.683       293.107  138.214   88.561     0.323    0.311   54.039  18.845
        451497  lsst-dp0.2   192354061          X05  59837.381792  59837.382139    30.000                20    C/2022 R6        true  59837.381792  -1075.153596  55.172402  -39.485719   9.5667   9.1275   5.552  113.087       291.967  105.983   86.672     0.330    0.325   85.469  18.947
        497668  lsst-dp0.2   512135017          X05  60330.175820  60330.176167    30.000                20    C/2022 R6        true  60330.175820   -582.359568  71.782838  -38.717623   7.6205   7.3152   7.180  104.450       316.400  228.611   77.453     0.192    0.171   36.030  17.677
        505751  lsst-dp0.2   192358093          X05  59837.383642  59837.383989    30.000                20    C/2022 R6        true  59837.383642  -1075.151746  55.172393  -39.485877   9.5667   9.1274   5.552  113.088       291.967  105.985   86.672     0.330    0.325   85.465  18.947
        545495  lsst-dp0.2   518038056          X05  60338.143443  60338.143790    30.000                20    C/2022 R6        true  60338.143443   -574.391945  71.518140  -37.917874   7.5944   7.3442   7.309  101.035       316.891  236.317   77.188     0.194    0.171   12.778  17.674
        604593  lsst-dp0.2   518001105          X05  60338.126230  60338.126577    30.000                20    C/2022 R6        true  60338.126230   -574.409158  71.518558  -37.919707   7.5945   7.3441   7.309  101.043       316.890  236.301   77.189     0.194    0.171   12.817  17.674
        671444  lsst-dp0.2   518089120          X05  60338.166632  60338.166979    30.000                20    C/2022 R6        true  60338.166632   -574.368756  71.517579  -37.915402   7.5943   7.3443   7.310  101.025       316.893  236.338   77.187     0.194    0.171   12.725  17.674
       1000662  lsst-dp0.2   233123176          X05  59901.199912  59901.200259    30.000                20    C/2022 R6        true  59901.199912  -1011.335476  51.447423  -43.106939   9.2878   8.7864   5.405  117.740       294.539  181.835   91.388     0.342    0.295   38.121  18.763
       1000724  lsst-dp0.2   242417052          X05  59914.108333  59914.108680    30.000                20    C/2022 R6        true  59914.108333   -998.427055  50.302230  -43.086493   9.2321   8.7956   5.623  113.427       295.078  196.732   92.212     0.347    0.286   28.787  18.744
       1000828  lsst-dp0.2   242445000          X05  59914.121492  59914.121839    30.000                20    C/2022 R6        true  59914.121492   -998.413896  50.301086  -43.086311   9.2320   8.7956   5.624  113.422       295.078  196.746   92.212     0.347    0.286   28.777  18.744
       1001035  lsst-dp0.2   242565139          X05  59914.178871  59914.179218    30.000                20    C/2022 R6        true  59914.178871   -998.356517  50.296098  -43.085504   9.2318   8.7957   5.625  113.400       295.081  196.810   92.215     0.347    0.286   28.734  18.744
       1025245  lsst-dp0.2   212243037          X05  59867.302070  59867.302417    30.000                20    C/2022 R6        true  59867.302070  -1045.233318  54.181600  -41.794788   9.4353   8.8855   5.210  120.814       293.154  139.638   88.653     0.323    0.311   54.062  18.841
       1025631  lsst-dp0.2   212703102          X05  59868.128068  59868.128415    30.000                20    C/2022 R6        true  59868.128068  -1044.407320  54.130930  -41.847011   9.4317   8.8808   5.206  120.898       293.187  140.655   88.718     0.324    0.310   54.038  18.839
       1025937  lsst-dp0.2   213508139          X05  59869.140927  59869.141274    30.000                20    C/2022 R6        true  59869.140927  -1043.394461  54.066813  -41.909926   9.4273   8.8752   5.202  120.990       293.228  141.908   88.799     0.324    0.310   53.957  18.836
       1038147  lsst-dp0.2   212738050          X05  59868.144630  59868.144977    30.000                20    C/2022 R6        true  59868.144630  -1044.390758  54.129865  -41.848056   9.4316   8.8807   5.206  120.900       293.188  140.676   88.720     0.324    0.310   54.036  18.839
       1143707  lsst-dp0.2   193049183          X05  59839.288496  59839.288843    30.000                20    C/2022 R6        true  59839.288496  -1073.246892  55.163757  -39.649020   9.5583   9.1081   5.524  113.811       292.041  107.904   86.770     0.328    0.324   80.014  18.940
       1143805  lsst-dp0.2   199649092          X05  59849.271941  59849.272288    30.000                20    C/2022 R6        true  59849.271941  -1063.263447  54.992429  -40.479843   9.5144   9.0150   5.382  117.148       292.435  118.491   87.349     0.322    0.319   48.886  18.902
       1143949  lsst-dp0.2   213535047          X05  59869.153113  59869.153460    30.000                20    C/2022 R6        true  59869.153113  -1043.382275  54.066008  -41.910678   9.4272   8.8752   5.202  120.991       293.228  141.923   88.800     0.324    0.310   53.955  18.836
